"","ref","system","input_mode","tl","l1","proficiency_level","age","context","treatment_length_weeks","treatment_hours","exp_design","dep_var_grp","dep_var","dep_var_det","dep_var_modality","m_t_pre","sd_t_pre","m_t_post","sd_t_post","m_c_pre","sd_c_pre","m_c_post","sd_c_post","n_treatment","n_control","team","sample","study","dial_type","syst_type","cf","init","dial_model","embodied","robot","vworld","gamified","yi","vi"
"1","Lee et al 2012","POMY","S","en","kr","A1","5-10","primary school",8,10,"pre-post","Listening","Comprehension","undisclosed test","oral",10.95,3.2,10.67,1.91,NA,NA,NA,NA,21,0,2,3,1,"Contextualized","Goal-oriented","Implicit","User + mixed","Probabilistic matching (Levenstein distance with corpus utterances)",FALSE,FALSE,FALSE,TRUE,-0.104248612968738,0.095367473491737
"2","Harless et al 1999","Conversim","S","ar","en",NA,"18+","military",1,40,"pre-post","Listening","Comprehension","Defense Language Proficiency Test","oral",73,3,75,4,NA,NA,NA,NA,9,0,12,19,2,"Elicited","Form-focused",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,0.538676115200842,0.230282554363552
"3","Lee et al 2014","POMY","S","en","kr","mixed","11-14","primary school",4,9,"pre-post","Speaking","Accuracy","-Grammatical errors/words","oral",-0.3081438,0.2451,-0.2611765,0.2484,NA,NA,NA,NA,25,0,2,4,3,"Contextualized","Goal-oriented","Implicit","User + mixed","Probabilistic matching (Levenstein distance with corpus utterances)",FALSE,FALSE,FALSE,TRUE,0.18734716745231,0.080350989611524
"4","Lee et al 2012","POMY","S","en","kr","A1","5-10","primary school",8,10,"pre-post","Speaking","Accuracy","Holistic rater judgement","oral",31.62,7.96,40.62,4.43,NA,NA,NA,NA,21,0,2,3,4,"Contextualized","Goal-oriented","Implicit","User + mixed","Probabilistic matching (Levenstein distance with corpus utterances)",FALSE,FALSE,FALSE,TRUE,1.37079482671571,0.117608076868459
"5","Hassani et al 2016","IVELL","S","en","fa","A2","18+","university",1,2,"pre-post","Speaking","Accuracy","-Grammatical errors/sentence","oral",-0.067,0.251,-0.036,0.187,NA,NA,NA,NA,10,0,13,25,5,"Contextualized","Goal-oriented","No","System","Graph",TRUE,FALSE,TRUE,FALSE,0.134132904943892,0.200449790904717
"6","Rayner & Tsourakis 2013","CALL-SLT","S","fr","en","A1","18+","external",1,1,"pre-post-alternate","Speaking","Accuracy","In-app response","oral",0,0,22.88762,20.791,NA,NA,NA,NA,12,0,16,29,6,"Meaning-constrained","Goal-oriented","Explicit","System","Matching",TRUE,FALSE,FALSE,FALSE,1.50303930252689,0.213731815519594
"7","Hassani et al 2016","IVELL","S","en","fa","A2","18+","university",1,2,"pre-post","Speaking","Complexity","Nb of proper replies","oral",0.416,0.845,0.692,0.62,NA,NA,NA,NA,10,0,13,25,7,"Contextualized","Goal-oriented","No","System","Graph",TRUE,FALSE,TRUE,FALSE,0.356651510863028,0.203180007505022
"8","Lee et al 2012","POMY","S","en","kr","A1","5-10","primary school",8,10,"pre-post","Speaking","Fluency","Holistic rater judgement","oral",33.57,9.83,47.48,3.06,NA,NA,NA,NA,21,0,2,3,8,"Contextualized","Goal-oriented","Implicit","User + mixed","Probabilistic matching (Levenstein distance with corpus utterances)",FALSE,FALSE,FALSE,TRUE,1.87466311115951,0.137075735480265
"9","Lee et al 2014","POMY","S","en","kr","mixed","11-14","primary school",4,9,"pre-post","Speaking","Fluency","Nb of words","oral",136.3,55.3,170,80.8,NA,NA,NA,NA,25,0,2,4,9,"Contextualized","Goal-oriented","Implicit","User + mixed","Probabilistic matching (Levenstein distance with corpus utterances)",FALSE,FALSE,FALSE,TRUE,0.479102081948515,0.082295388049274
"10","Hassani et al 2016","IVELL","S","en","fa","A2","18+","university",1,2,"pre-post","Speaking","Fluency","-Phonation time/letter","oral",-0.418,2.64550264550265,-0.262,3.09597523219814,NA,NA,NA,NA,10,0,13,25,10,"Contextualized","Goal-oriented","No","System","Graph",TRUE,FALSE,TRUE,FALSE,0.0518804170456801,0.200067289441821
"11","Wolska & Wilske 2011","[Wilske2]","W","de","mixed","mixed","18+","university",3,1,"pre-post-alternate","Speaking","Fluency","Phonation time ratio","oral",0.57,0.05,0.68,0.1,NA,NA,NA,NA,6,0,6,24,11,"Contextualized","Goal-oriented","Implicit","System","Graph (+ certain variables)",FALSE,FALSE,TRUE,FALSE,1.2839102418405,0.402017729545955
"12","Wilske 2014","[Wilske2]","W","de","mixed","mixed","18+","university",3,1,"pre-post-alternate","Speaking","Fluency","Phonation time ratio","oral",0.82,0.05,0.86,0.07,NA,NA,NA,NA,7,0,6,13,12,"Contextualized","Goal-oriented","Implicit","System","Graph (+ certain variables)",FALSE,FALSE,TRUE,FALSE,0.615471551450218,0.299243043951591
"13","Wolska & Wilske 2011","[Wilske2]","W","de","mixed","mixed","18+","university",3,1,"pre-post-alternate","Speaking","Fluency","Speech rate","oral",2.05,0.3,2.19,0.5,NA,NA,NA,NA,6,0,6,24,13,"Contextualized","Goal-oriented","Implicit","System","Graph (+ certain variables)",FALSE,FALSE,TRUE,FALSE,0.313318155918162,0.337423677784498
"14","Wilske 2014","[Wilske2]","W","de","mixed","mixed","18+","university",3,1,"pre-post-alternate","Speaking","Fluency","Speech rate","oral",2.39,0.47,2.46,0.73,NA,NA,NA,NA,7,0,6,13,14,"Contextualized","Goal-oriented","Implicit","System","Graph (+ certain variables)",FALSE,FALSE,TRUE,FALSE,0.106717053478625,0.286121018910827
"15","Kim 2016","Indigo","S","en","kr","A1","18+","university",16,3,"pre-post","Speaking","Proficiency","TOEIC Speaking Test","oral",64.5,7.59,112.5,14.1,61.5,11.37,80,22,20,20,15,28,15,"Free","Reactive","No","User","Matching",FALSE,FALSE,FALSE,FALSE,4.15486478505516,0.315786267276143
"16","Kim 2016","Indigo","S","en","kr","A2","18+","university",16,3,"pre-post","Speaking","Proficiency","TOEIC Speaking Test","oral",89.55,7.85,112.73,14.53,90.91,8.68,105.45,17.38,22,22,15,28,16,"Free","Reactive","No","User","Matching",FALSE,FALSE,FALSE,FALSE,1.94926422787431,0.1340867162508
"17","Kim 2016","Indigo","S","en","kr","B1","18+","university",16,3,"pre-post","Speaking","Proficiency","TOEIC Speaking Test","oral",115.91,9.08,126.82,17.56,111.58,15.37,128.42,27.74,21,16,15,28,17,"Free","Reactive","No","User","Matching",FALSE,FALSE,FALSE,FALSE,0.765739666098347,0.102218538526624
"18","Harless et al 1999","Conversim","S","ar","en",NA,"18+","military",1,40,"pre-post","Speaking","Proficiency","Oral Proficiency Interview","oral",1.1,0.1,1.3,0.1,NA,NA,NA,NA,9,0,12,19,18,"Elicited","Form-focused",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,1.9045076696087,0.322976373988844
"19","Chiu et al 2007","CandleTalk","S","en","zh","A2","18+","university",5,3,"pre-post-alternate","Speaking","Proficiency","Discourse Completion Test (holistic rating)","oral",40.85,5.51,42.32,4.32,NA,NA,NA,NA,49,0,10,17,19,"Elicited","Form-focused","No","System",NA,FALSE,FALSE,FALSE,FALSE,0.294589953586279,0.0412590981671121
"20","Lee et al 2012","POMY","S","en","kr","A1","5-10","primary school",8,10,"pre-post","Speaking","Pronunciation","Holistic rater judgement","oral",32.14,8.86,45.62,4.28,NA,NA,NA,NA,21,0,2,3,20,"Contextualized","Goal-oriented","Implicit","User + mixed","Probabilistic matching (Levenstein distance with corpus utterances)",FALSE,FALSE,FALSE,TRUE,1.90083977149084,0.138252283772397
"21","Lee et al 2012","POMY","S","en","kr","A1","5-10","primary school",8,10,"pre-post","Speaking","Vocabulary","Holistic rater judgement","oral",32.95,8.21,42.38,5.31,NA,NA,NA,NA,21,0,2,3,21,"Contextualized","Goal-oriented","Implicit","User + mixed","Probabilistic matching (Levenstein distance with corpus utterances)",FALSE,FALSE,FALSE,TRUE,1.33818440332636,0.116556398777452
"22","Petersen 2010","Sasha","W","en","mixed","mixed","14-17","secondary school",1,1.5,"pre-post-control","Writing","Accuracy","Question-formation Test, morphology score","written",43.78,19.3,55.22,16.89,45.87,14.73,43.58,14.71,19,18,9,16,22,"Contextualized","Goal-oriented","Implicit (recast)","User","Frame",TRUE,FALSE,FALSE,FALSE,0.769681328821209,0.221713978811608
"23","Petersen 2010","Sasha","W","en","mixed","mixed","14-17","secondary school",1,1.5,"pre-post-control","Writing","Accuracy","Question-formation Test, syntax score","written",46.59,22.27,58.49,20.31,45.69,18.39,37.51,20.1,19,18,9,16,23,"Contextualized","Goal-oriented","Implicit (recast)","User","Frame",TRUE,FALSE,FALSE,FALSE,0.961807882284388,0.222699967722327
